id,run_length,sexy,price,start_time,end_time,workerid,censored,other
389,0,True,0.15,2013-04-20 01:28:58,2013-04-20 01:28:58,A2QQKVIN9R45N6,True,None
390,0,True,0.15,2013-04-20 02:22:54,2013-04-20 02:22:54,A3QS7M912JGKFD,True,None
391,1,False,0.3,2013-04-20 02:40:54,2013-04-20 02:46:06,AVBWCIZYMUFCC,True,None
392,0,False,0.15,2013-04-20 01:05:53,2013-04-20 01:05:53,A16G716K9428HM,True,None
393,0,True,0.15,2013-04-20 01:54:18,2013-04-20 01:54:18,A2BC0MRL0SOKJQ,True,None
394,5,True,0.3,2013-04-20 01:24:27,2013-04-20 02:41:27,A2ACAV5YWWRZM7,True,None
395,0,False,0.3,2013-04-20 01:24:55,2013-04-20 01:24:55,A2QLSHXNCHBRN4,True,None
396,0,True,0.15,2013-04-20 01:03:52,2013-04-20 01:03:52,A1OG3DTW66QD00,True,None
397,0,False,0.3,2013-04-20 01:04:21,2013-04-20 01:04:21,AC5LU9TF9CTK9,True,None
398,0,False,0.3,2013-04-20 02:51:28,2013-04-20 02:51:28,A2GURWII5L4PJX,True,None
399,1,False,0.3,2013-04-20 01:56:32,2013-04-20 02:03:58,A2GS3V99JFZLL,True,None
400,0,False,0.3,2013-04-20 02:47:07,2013-04-20 02:47:07,A30WQVAO6L3RWJ,True,None
401,0,True,0.3,2013-04-20 02:15:43,2013-04-20 02:15:43,AQ36OBO2GRA00,True,None
402,0,False,0.15,2013-04-20 02:13:30,2013-04-20 02:13:30,A272WCIP9ZD753,True,None
403,0,False,0.3,2013-04-20 01:25:53,2013-04-20 01:25:53,A13JQIAK0MAF3B,True,None
404,0,False,0.15,2013-04-20 02:19:42,2013-04-20 02:19:42,AUD3A4YDWWZCY,True,None
405,0,False,0.3,2013-04-20 01:29:51,2013-04-20 01:29:51,A29WHPBW1R07CT,True,None
407,2,True,0.3,2013-04-20 02:50:03,2013-04-20 03:03:46,A1RXC5VP43DBPF,True,None
